Title,Rating,Year,Actors,Runtime
Aloko Udapadi,9.5,2017,Uddika Premarathna,113 min
Dag II,9.3,2016,Dilhani Ekanayake,135 min
Aynabaji,9.3,2016,Roshan Ravindra,147 min
Wheels,9.3,2014,Menaka Peiris,115 min
The Dark Knight,9.0,2008,Ozan Agaç,152 min
Aruvi,8.8,2016,Bedii Akin,130 min
Drishyam,8.8,2013,Murat Arkin,160 min
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,Eylül Arular,137 min
Inception,8.8,2010,Chanchal Chowdhury,148 min
Ayla: The Daughter of War,8.7,2017,Masuma Rahman Nabila,125 min
Vikram Vedha,8.7,2017,Bijori Barkatullah,147 min
Interstellar,8.6,2014,Partho Barua,169 min
Dhuruvangal Pathinaaru,8.5,2016,Donavon Warren,105 min
Dangal,8.5,2016,Patrick Hume,161 min
Thani Oruvan,8.5,2015,Diana Gettinger,160 min
RangiTaranga,8.5,2015,Kevin McCorkle,149 min
Whiplash,8.5,2014,Christian Bale,106 min
The Intouchables,8.5,2011,Heath Ledger,112 min
Kiborgy. Heroyi ne vmyrayut,8.4,2017,Aaron Eckhart,112 min
Arjun Reddy,8.4,2017,Michael Caine,182 min
Sairat,8.4,2016,Aditi Balan,174 min
Kimi no na wa.,8.4,2016,Padmashri Mohammad Ali,106 min
Ulidavaru Kandanthe,8.4,2014,Pradeep Anthony,154 min
Soodhu Kavvum,8.4,2013,Arnold,135 min
Coco,8.4,2017,Mohanlal,105 min
Lucia,8.4,2013,Meena,135 min
Vishwaroopam,8.4,2013,Ansiba,148 min
Django Unchained,8.4,2012,Esther,165 min
The Dark Knight Rises,8.4,2012,Ramin Karimloo,164 min
3 Idiots,8.4,2009,Sierra Boggess,170 min
WALL·E,8.4,2008,Hadley Fraser,98 min
Theeran Adhigaaram Ondru,8.3,2017,Wendy Ferguson,157 min
Abad va yek rooz,8.3,2016,Leonardo DiCaprio,95 min
Baahubali 2: The Conclusion,8.3,2017,Joseph Gordon-Levitt,167 min
Premam,8.3,2015,Ellen Page,156 min
Drishyam,8.3,2015,Ken Watanabe,163 min
Chaar Sahibzaade,8.3,2014,Çetin Tekindor,135 min
Bangalore Days,8.3,2014,Ismail Hacioglu,171 min
Jigarthanda,8.3,2014,Kyung-jin Lee,171 min
It's Such a Beautiful Day,8.3,2012,Kim Seol,62 min
1 - Nenokkadine,8.3,2014,Vijay Sethupathi,170 min
Ustad Hotel,8.3,2012,Madhavan,151 min
Shahid,8.3,2012,Varalaxmi Sarathkumar,129 min
Jagten,8.3,2012,Shraddha Srinath,115 min
Bol,8.3,2011,Matthew McConaughey,165 min
Jodaeiye Nader az Simin,8.3,2011,Anne Hathaway,123 min
"Montevideo, vidimo se!",8.3,2014,Jessica Chastain,141 min
"Montevideo, Bog te video!",8.3,2010,Mackenzie Foy,140 min
Incendies,8.3,2010,Rahman,131 min
Toy Story 3,8.3,2010,Prakash Raghavan,103 min
